Words,Count
Moon,66
ways,66
muttered,66
speaking,66
Peregrin,66
middle,66
burning,66
II,66
says,66
staff,65
trying,65
servants,65
Kings,65
bitter,65
terror,65
trust,65
stepped,65
travellers,65
Wormtongue,65
five,65
boats,65
body,64
raised,64
fingers,64
faint,64
western,64
hurt,64
believe,64
speech,64
grow,64
Chapter,64
taking,64
sons,64
snow,64
Three,64
Dwarf,64
vast,64
crept,64
guests,63
Will,63
steep,63
bare,63
age,63
form,63
stair,63
sea,63
corner,63
shouted,63
rolled,63
troubled,63
Soon,63
leaped,63
wished,63
burned,63
built,63
business,63
history,62
English,62
slept,62
stony,62
saying,62
windows,62
flame,62
errand,62
creature,62
thinking,62
drawing,62
clad,62
Precious,61
case,61
boat,61
crossed,61
lights,61
gathering,61
Grey,61
swords,61
probably,61
ruin,61
truth,61
Your,61
eat,61
Ithilien,61
send,61
tonight,60
Deep,60
making,60
neck,60
Far,60
flowed,60
Samwise,60
midst,60
deeds,60
afterwards,60
o,60
step,60
blue,60
talking,60
Nazg,60
slipped,60
distant,59
hung,59
burden,59
gazed,59
sit,59
Eldar,59
thick,59
entered,59
forget,59
sighed,59
Morgul,59
waters,59
third,58
lot,58
likely,58
begin,58
winding,58
Mirkwood,58
climbing,58
joy,58
older,58
paths,58
Elf,58
big,58
northern,58
Hobbiton,58
knees,58
honour,58
dreadful,58
waiting,57
seek,57
songs,57
lit,57
anyway,57
driven,57
mine,57
House,57
started,57
needed,57
wisdom,57
hot,57
didn,57
proud,57
foul,57
flat,57
possible,57
farewell,57
letters,56
Ugl,56
Quenya,56
children,56
Eorl,56
Thr,56
despair,56
whose,56
Nay,56
beautiful,56
following,56
OF,56
show,56
Alas,56
broad,55
usually,55
Dol,55
chamber,55
thus,55
pain,55
terrible,55
Ah,55
shoulder,55
brown,55
falls,55
dwell,55
cool,55
Edoras,55
fact,55
whatever,55
Have,55
hollow,54
die,54
Doom,54
branches,54
roof,54
hole,54
thrust,54
Took,54
S,54
covered,54
book,54
Council,54
shoulders,54
Durin,54
written,54
Mithrandir,53
chair,53
birds,53
blood,53
weapons,53
pity,53
quietly,53
loud,53
blew,53
Gl,53
merry,53
shapes,53
leading,53
escaped,53
Look,53
therefore,52
orc,52
queer,52
alive,52
sides,52
grown,52
choose,52
victory,52
everything,52
storm,52
isn,52
busy,52
race,52
sort,52
bridge,52
feared,52
figure,52
expected,52
bottom,52
Farewell,52
remain,52
easy,52
single,52
Arwen,51
ship,51
daughter,51
Celeborn,51
force,51
remembered,51
bad,51
Nothing,51
blade,51
sometimes,51
carried,51
blow,51
heir,50
wore,50
circle,50
enter,50
Steward,50
grief,50
different,50
Osgiliath,50
star,50
Nine,50
Rider,50
tunnel,50
yellow,50
roads,50
rule,50
northward,50
ten,49
warm,49
added,49
Shagrat,49
listened,49
order,49
stirred,49
hungry,49
sooner,49
seven,49
service,49
friendship,49
sounds,49
flying,49
main,49
lives,49
climb,49
march,48
See,48
fight,48
weariness,48
brief,48
steadily,48
southwards,48
whispered,48
Emyn,48
Thus,48
mile,48
Captain,48
welcome,48
Gamgee,48
Long,48
meant,48
failed,48
begun,48
shore,48
leaving,47
surprise,47
bow,47
Did,47
sing,47
ruffians,47
stared,47
Are,47
smiled,47
fought,47
able,47
riders,47
seeing,47
Sindarin,47
garden,47
Amroth,47
pony,47
dusk,47
Meriadoc,47
trail,47
touch,47
foes,46
towers,46
dread,46
height,46
sunlight,46
houses,46
wings,46
ma,46
roots,46
ponies,46
today,46
text,46
Misty,46
bound,46
axe,46
somehow,46
crawled,46
gently,46
drove,46
thoughts,46
haven,46
chill,46
gleam,46
seat,46
number,46
edition,45
according,45
dared,45
showed,45
Barad-d,45
sharp,45
flowers,45
breast,45
sheer,45
beast,45
sad,45
keeping,45
Bill,45
wrath,45
listen,45
lane,45
iron,45
arch,45
amid,45
Out,45
gift,45
Slowly,45
sang,45
War,45
wrong,44
Thorin,44
Glorfindel,44
beasts,44
signs,44
spread,44
sweet,44
R,44
Hobbit,44
Brandywine,44
cries,44
lore,44
Haldir,44
wrought,44
paused,44
pool,44
assault,44
wanted,44
Buckland,44
shook,44
lower,44
First,43
borne,43
start,43
anyone,43
hoped,43
named,43
captain,43
deeper,43
crying,43
languages,43
stop,43
loomed,43
Eye,43
Cotton,43
horns,43
matters,43
helm,43
prepared,43
dwarf,43
loss,43
stretched,43
horsemen,43
comfort,43
bearing,42
tomorrow,42
skill,42
Speech,42
Can,42
Lothl,42
Two,42
account,42
southward,42
weather,42
By,42
mostly,42
Most,42
count,42
Bridge,42
stroke,42
aloud,42
Stone,42
Down,42
gleamed,42
kill,42
hide,41
noon,41
allowed,41
rang,41
threw,41
Wild,41
real,41
mortal,41
certain,41
woke,41
sense,41
sank,41
Just,41
Dale,41
spears,41
rocks,41
Man,41
shot,41
level,41
mists,41
Hill,41
view,41
outer,41
parts,41
brink,41
important,40
waited,40
Westron,40
Take,40
pace,40
staring,40
lords,40
Muil,40
winter,40
camp,40
arrows,40
mark,40
guide,40
keen,40
marched,40
grim,40
Battle,40
Shelob,40
difficult,40
belt,40
space,40
swept,40
questions,40
blowing,40
Days,40
ridge,40
Land,40
fool,40
harm,40
Power,40
Behind,40
proved,40
willing,40
content,40
southern,40
Bombadil,39
strangers,39
hither,39
vain,39
break,39
perilous,39
wandering,39
hearing,39
orders,39
expect,39
Isen,39
Oh,39
Umbar,39
fate,39
stooped,39
shores,39
brother,39
hideous,39
kh,39
H,39
High,39
lady,39
looks,39
guards,39
mountain,39
roused,39
meal,38
halls,38
certainly,38
task,38
calling,38
endure,38
passes,38
loved,38
ridden,38
prove,38
May,38
holding,38
stronger,38
watching,38
Gaffer,38
Already,38
dry,38
reans,38
burst,38
fine,38
rider,38
pools,38
Elessar,38
Ford,37
parting,37
wolves,37
malice,37
Imrahil,37
ships,37
awake,37
Arnor,37
weight,37
struck,37
advice,37
leaf,37
cruel,37
knowledge,37
knife,37
wondering,37
flowing,37
Hall,37
kin,37
Tree,37
afternoon,37
fellow,37
music,37
fortune,37
horror,37
F,37
fit,37
fresh,37
higher,37
abroad,37
thousand,37
brow,37
afar,37
Its,36
search,36
About,36
lines,36
laughing,36
steel,36
claim,36
naught,36
rumour,36
dare,36
wandered,36
desperate,36
crack,36
pardon,36
mail,36
Book,36
fighting,36
having,36
tears,36
stumbled,36
reason,36
fashion,36
rope,36
wholly,36
Arathorn,36
pack,36
removed,36
Perhaps,36
message,36
carry,36
begins,36
born,36
wet,36
Elder,35
dwarves,35
fading,35
becomes,35
thee,35
tongues,35
Presently,35
creatures,35
forms,35
luck,35
seeking,35
Tell,35
twisted,35
sorry,35
twilight,35
finger,35
gear,35
Grishn,35
holes,35
throat,35
banks,35
bones,35
hurry,35
fires,35
cross,35
Common,35
glance,35
clearly,35
ruined,35
smooth,35
revealed,35
perished,35
shout,34
descended,34
closely,34
chain,34
None,34
serve,34
otherwise,34
nights,34
teeth,34
meaning,34
Folk,34
Those,34
lad,34
supper,34
clean,34
torches,34
promised,34
Upon,34
Beyond,34
whisper,34
Never,34
touched,34
leader,34
greatest,34
ate,34
wrapped,34
means,34
writing,34
rings,34
feast,34
discovered,33
gazing,33
stern,33
rested,33
lesser,33
shield,33
reckoning,33
silently,33
Wise,33
Weathertop,33
meeting,33
glimpse,33
believed,33
altogether,33
spare,33
cover,33
family,33
catch,33
noticed,33
Maggot,33
sought,33
knowing,33
Fire,33
depart,33
thunder,33
Bywater,33
arrow,33
points,33
figures,33
stairs,33
pleased,33
effort,33
departed,33
minds,33
waking,33
appear,33
ends,33
Vale,33
nigh,33
Day,33
mounted,33
knights,32
chosen,32
Gildor,32
Goldberry,32
pp,32
ending,32
dismay,32
Eriador,32
arose,32
treasure,32
women,32
hundreds,32
crawling,32
week,32
shown,32
flight,32
worth,32
horrible,32
Hornburg,32
Sting,32
remote,32
saved,32
finished,32
laughter,32
sunset,32
hissed,32
labour,32
Amon,32
defence,32
Beren,32
hedge,32
endless,31
beat,31
gentle,31
plan,31
Captains,31
flash,31
Nob,31
breakfast,31
Wood,31
army,31
boughs,31
More,31
March,31
talked,31
delight,31
guarded,31
Hills,31
ease,31
marching,31
anger,31
reckon,31
village,31
Orc,31
nightfall,31
origin,31
actually,31
pref,31
hiding,31
concerning,31
events,31
summer,31
direction,31
peering,30
sounded,30
understood,30
attack,30
six,30
spent,30
Gorbag,30
halt,30
bid,30
Golden,30
smell,30
sorrow,30
manner,30
Up,30
fly,30
Balin,30
journeyed,30
fail,30
backs,30
Prince,30
valiant,30
Pelennor,30
picked,30
laden,30
pressed,30
cloaks,30
months,30
y,30
setting,30
seized,30
page,30
Chief,30
dell,30
joined,30
Red,30
token,30
hoofs,30
Houses,30
flung,30
Our,30
limbs,30
party,30
Citadel,30
leaning,29
courage,29
question,29
strode,29
note,29
worst,29
openly,29
Such,29
glimmering,29
autumn,29
received,29
waste,29
disappeared,29
promise,29
vision,29
Brandybuck,29
loose,29
smile,29
angry,29
attempt,29
mere,29
mounds,29
kindled,29
struggled,29
stooping,29
marks,29
stayed,29
draw,29
hasty,29
Dunharrow,29
Erebor,29
wasn,28
behold,28
companion,28
banner,28
Imladris,28
rise,28
inn,28
Rangers,28
madness,28
Would,28
putting,28
desired,28
hurrying,28
Cirith,28
harsh,28
Every,28
various,28
hate,28
peered,28
pursuit,28
pleasant,28
twice,28
pocket,28
takes,28
eager,28
final,28
kindred,28
blind,28
Be,28
mound,28
pillars,28
easier,28
deeply,28
wouldn,28
refuge,28
debate,28
pointed,28
hilt,28
hurried,28
lads,28
Neither,28
Death,28
Fair,28
perils,28
Darkness,28
lose,28
healing,28
Entwash,27
pursued,27
thrown,27
hood,27
worn,27
Time,27
dull,27
Ann,27
strike,27
heed,27
piled,27
pierced,27
Arvedui,27
Nor,27
cunning,27
spell,27
hid,27
plunged,27
Guldur,27
knelt,27
rich,27
scattered,27
rim,27
Angmar,27
fish,27
nearby,27
plainly,27
vale,27
glass,27
dreams,27
amazement,27
Paths,27
crossing,27
bird,27
pay,27
child,27
apart,27
grave,27
healed,27
decided,27
Harad,27
dying,27
Her,27
bending,27
thither,27
gleaming,27
barren,27
doesn,27
plains,27
Seven,27
laugh,27
works,27
due,27
simple,27
Since,27
servant,26
ordered,26
Mount,26
leaping,26
quicker,26
eaves,26
hosts,26
glory,26
published,26
upper,26
Away,26
usual,26
fog,26
finding,26
stout,26
deed,26
greatly,26
